id,tipo,anio,mesnom,mes,valor
1,Importaciones,2008,DICIEMBRE,12,2026665000
1,Importaciones,2009,ENERO,1,1031657000
1,Importaciones,2009,FEBRERO,2,1205258000
1,Importaciones,2009,MARZO,3,1468475000
1,Importaciones,2009,ABRIL,4,1006295000
1,Importaciones,2009,MAYO,5,1301615000
1,Importaciones,2009,JUNIO,6,1251631000
1,Importaciones,2009,JULIO,7,1282254000
1,Importaciones,2009,AGOSTO,8,1558717000
1,Importaciones,2009,SEPTIEMBRE,9,1786959000
1,Importaciones,2009,OCTUBRE,10,1771952000
1,Importaciones,2009,NOVIEMBRE,11,2533744000
1,Importaciones,2009,DICIEMBRE,12,2292699000
1,Importaciones,2010,ENERO,1,1514571000
1,Importaciones,2010,FEBRERO,2,1736069000
1,Importaciones,2010,MARZO,3,2068452000
1,Importaciones,2010,ABRIL,4,1825906000
1,Importaciones,2010,MAYO,5,2060201000
1,Importaciones,2010,JUNIO,6,2007014000
1,Importaciones,2010,JULIO,7,1838729000
1,Importaciones,2010,AGOSTO,8,2354325000
1,Importaciones,2010,SEPTIEMBRE,9,2078090000
1,Importaciones,2010,OCTUBRE,10,2328332000
1,Importaciones,2010,NOVIEMBRE,11,2663483000
1,Importaciones,2010,DICIEMBRE,12,2237051000
1,Importaciones,2011,ENERO,1,1909453000
1,Importaciones,2011,FEBRERO,2,2093014000
1,Importaciones,2011,MARZO,3,2200297000
1,Importaciones,2011,ABRIL,4,1995764000
1,Importaciones,2011,MAYO,5,2343801000
1,Importaciones,2011,JUNIO,6,2308267000
1,Importaciones,2011,JULIO,7,2328611000
1,Importaciones,2011,AGOSTO,8,2730973000
1,Importaciones,2011,SEPTIEMBRE,9,2495710000
1,Importaciones,2011,OCTUBRE,10,2542773000
1,Importaciones,2011,NOVIEMBRE,11,2864932000
1,Importaciones,2011,DICIEMBRE,12,2757450000
1,Importaciones,2012,ENERO,1,2197534000
1,Importaciones,2012,FEBRERO,2,2458420000
1,Importaciones,2012,MARZO,3,2629820000
1,Importaciones,2012,ABRIL,4,2675891000
1,Importaciones,2012,MAYO,5,2751149000
1,Importaciones,2012,JUNIO,6,2704654000
1,Importaciones,2012,JULIO,7,2667510000
1,Importaciones,2012,AGOSTO,8,2779921000
1,Importaciones,2012,SEPTIEMBRE,9,2554351000
1,Importaciones,2012,OCTUBRE,10,2941697000
1,Importaciones,2012,NOVIEMBRE,11,3283035000
1,Importaciones,2012,DICIEMBRE,12,2782970000
1,Importaciones,2013,ENERO,1,2498685000
1,Importaciones,2013,FEBRERO,2,2651416000
1,Importaciones,2013,MARZO,3,2752251000
1,Importaciones,2013,ABRIL,4,3041145000
1,Importaciones,2013,MAYO,5,2872672000
1,Importaciones,2013,JUNIO,6,2653645000
1,Importaciones,2013,JULIO,7,2706481000
1,Importaciones,2013,AGOSTO,8,2822582000
1,Importaciones,2013,SEPTIEMBRE,9,2660373000
1,Importaciones,2013,OCTUBRE,10,3104818000
1,Importaciones,2013,NOVIEMBRE,11,3040374000
1,Importaciones,2013,DICIEMBRE,12,2589321000
1,Importaciones,2014,ENERO,1,2443727000
1,Importaciones,2014,FEBRERO,2,2604007000
1,Importaciones,2014,MARZO,3,2933747000
1,Importaciones,2014,ABRIL,4,2826507000
1,Importaciones,2014,MAYO,5,3103150000
1,Importaciones,2014,JUNIO,6,3426990000
1,Importaciones,2014,JULIO,7,2889639000
1,Importaciones,2014,AGOSTO,8,3210934000
1,Importaciones,2014,SEPTIEMBRE,9,2908078000
1,Importaciones,2014,OCTUBRE,10,3376221000
1,Importaciones,2014,NOVIEMBRE,11,3216630000
1,Importaciones,2014,DICIEMBRE,12,2795982000
